,"0: Symbol, 1: bracket before, 2: bracket after, 3: remove token, 4: other, 5: two brackets, 6: remove formula",replace with,style
\Huge,3,,n
\Im,0,,n
\L,0,,n
\LARGE,3,,n
\Large,3,,n
\Leftrightarrow,0,,n
\Longleftarrow,0,,n
\Longleftrightarrow,0,,n
\Longrightarrow,0,,n
\O,0,,n
\P,0,,n
\Re,0,,n
\S,0,,n
\SS,0,S S,n
\Upsilon,0,,n
\Vert,0,\parallel,n
\^,2,\hat,n
\_,0,,n
\acute,2,,n
\ae,0,,n
\aleph,0,,n
\amalg,0,,n
\arrowvert,0,|,n
\asymp,0,,n
\atop,1,,n
\atopwithdelims,1,\atop,n
\b,0,,n
\backslash,0,,n
\bigcap,0,,n
\bigcup,0,,n
\biggm,3,,n
\bigm,3,,n
\bigoplus,0,,n
\bigotimes,0,,n
\bigsqcup,0,,n
\bigtriangledown,0,,n
\bigtriangleup,0,,n
\bigvee,0,,n
\bigwedge,0,,n
\bmod,0,,n
\brace,1,,n
\brack,1,,n
\breve,2,,n
\buildrel,1,,n
\bullet,0,,n
\c,0,,n
\cap,0,,n
\cdotp,0,,n
\cite,6,,n
\colon,0,:,n
\cong,0,,n
\crcr,6,,n
\cup,0,,n
\d,0,,n
\ddag,0,,n
\ddagger,0,\ddag,n
\diamond,0,,n
\diamondsuit,0,,n
\do,6,,n
\doteq,0,,n
\downarrow,0,,n
\em,3,,n
\emptyset,0,,n
\enskip,3,,n
\enspace,3,,n
\ensuremath,3,,n
\exists,0,,n
\fbox,6,,n
\fboxsep,6,,n
\fill,3,,n
\flat,0,,n
\footnotemark,6,,n
\footnotesize,6,,n
\framebox,6,,n
\gg,0,,n
\grave,2,,n
\hookrightarrow,0,,n
\hphantom,6,,n
\hrule,0,,n
\hss,3,,n
\i,0,,n
\itshape,3,,n
\j,0,,n
\kern,3,,n
\land,0,,n
\large,3,,n
\lbrace,0,\{,n
\lceil,0,,n
\leavevmode,3,,n
\leftarrow,0,,n
\lefteqn,3,,n
\lfloor,0,,n
\lgroup,0,,n
\llap,3,,n
\longleftarrow,0,,n
\longleftrightarrow,0,,n
\longmapsto,0,,n
\lower,6,,n
\lq,0,,n
\makebox,6,,n
\mathaccent,6,,n
\mathbin,3,,n
\mathclose,6,,n
\mathit,3,,n
\mathop,3,,n
\mathopen,6,,n
\mathrel,3,,n
\mathsf,3,,n
\mathstrut,3,,n
\medskip,3,,n
\mit,3,\mathit,n
\mkern,3,,n
\mskip,3,,n
\natural,0,,n
\nearrow,0,,n
\ni,0,,n
\normalsize,3,,n
\notin,0,,n
\null,3,,n
\nulldelimiterspace,3,,n
\o,0,,n
\odot,0,,n
\of,6,,n
\ominus,0,,n
\ooalign,3,,n
\overbrace,2,,n
\overleftarrow,2,,n
\overwithdelims,2,,n
\parbox,6,,n
\phantom,6,\hphantom,n
\pmod,2,,n
\pounds,0,,n
\prec,0,,n
\protect,3,,n
\protectE,3,,n
\protectZ,3,,n
\protecte,3,,n
\protectm,3,,n
\protectu,3,,n
\raise,6,,n
\raisebox,6,,n
\rbrace,0,\},n
\rbrack,0,,n
\rceil,0,,n
\ref,6,,n
\relax,6,,n
\rfloor,0,,n
\rgroup,0,,n
\rightarrowfill,0,\rightarrow,n
\rightharpoonup,0,,n
\rightleftharpoons,0,,n
\rlap,6	,,n
\root,6,,n
\sb,2,_,n
\sc,3,,n
\searrow,0,,n
\setcounter,6,,n
\setlength,6,,n
\setminus,0,\backslash,n
\sf,3,,n
\sharp,0,,n
\skew,6,,n
\sl,3,,n
\slash,0,,n
\small,3,,n
\smallskip,3,,n
\smash,3,,n
\smile,6,,n
\space,3,,n
\special,6,,n
\sqcap,0,,n
\sqcup,0,,n
\ss,0,,n
\strut,3,,n
\subseteq,0,,n
\succeq,0,,n
\supset,0,,n
\supseteq,0,,n
\surd,0,,n
\symbol,0,,n
\textbf,3,,n
\textit,3,,n
\textnormal,3,,n
\textsf,3,,n
\texttt,3,,n
\textup,3,,n
\thinspace,3,,n
\tiny,3,,n
\top,0,,n
\triangleleft,0,,n
\triangleright,0,,n
\tt,3,,n
\unboldmath,3,,n
\underbrace,2,,n
\uparrow,0,,n
\upsilon,0,,n
\varpi,0,,n
\varsigma,0,,n
\vcenter,3,,n
\vdash,0,,n
\vdots,0,,n
\vee,0,,n
\vline,0,|,n
\vphantom,6,,n
\vrule,0,|,n
\vss,3,,n
\wp,0,,n
`,0,,n
\begin{array},2,,n
\end{array},0,,n
&,0,,n
\vskip,6,,n
\renewcommand,6,,n
a r g,0,\arg,n
m i n,0,\min,n
m a x,0,\max,n
l o g,0,\log,n
l n,0,\ln,n
c o s h,0,\cosh,n
c o s,0,\cos,n
s i n h,0,\sinh,n
s i n,0,\sin,n
\boldsymbol,2,,y
\mathbb,2,,y
\sb,0,_,n
\sp,0,^,n
\lt,0,<,n
\gt,0,>,n
